name,variant,phase,dtype,tile,unroll,cores,reuse,static,vf,elements,completed,compiled,numerical,ub_bytes,median_ticks,failed_segments,evidence
exact-stable-compile-case-9,exact_stable,compile,bfloat16,1024,1,72,1,default,1,49691433,True,True,,73728,,[],evidence/exact-stable-compile-case-9/result.json
exact-stable-f32-initial,exact_stable,numerical,float32,2048,1,1,1,default,1,16384,True,True,True,147456,,[],evidence/exact-stable-f32-initial/result.json
exact-stable-stress-bfloat16,exact_stable,numerical,bfloat16,1024,1,1,1,default,1,5120,True,True,True,73728,,[],evidence/exact-stable-stress-bfloat16/result.json
exact-stable-stress-float16,exact_stable,numerical,float16,1024,1,1,1,default,1,5120,True,True,True,73728,,[],evidence/exact-stable-stress-float16/result.json
exact-stable-stress-float32,exact_stable,numerical,float32,1024,1,1,1,default,1,6144,True,True,True,73728,,[],evidence/exact-stable-stress-float32/result.json
exact-stable-tail-repeat,exact_stable,tail,float32,1024,1,8,1,default,1,2049,True,True,True,73728,,[],evidence/exact-stable-tail-repeat/result.json
matrix-r0-sdefault-vf0,corrected,compile,float32,15872,2,72,0,default,0,150994944,True,True,,1714176,,[],evidence/matrix-r0-sdefault-vf0/result.json
matrix-r0-sdefault-vf1,corrected,compile,float32,15872,2,72,0,default,1,150994944,True,True,,1714176,,[],evidence/matrix-r0-sdefault-vf1/result.json
matrix-r0-sfalse-vf0,corrected,compile,float32,15872,2,72,0,false,0,150994944,True,True,,,,[],evidence/matrix-r0-sfalse-vf0/result.json
matrix-r0-sfalse-vf1,corrected,compile,float32,15872,2,72,0,false,1,150994944,True,True,,,,[],evidence/matrix-r0-sfalse-vf1/result.json
matrix-r0-strue-vf0,corrected,compile,float32,15872,2,72,0,true,0,150994944,True,True,,1714176,,[],evidence/matrix-r0-strue-vf0/result.json
matrix-r0-strue-vf1,corrected,compile,float32,15872,2,72,0,true,1,150994944,True,True,,1714176,,[],evidence/matrix-r0-strue-vf1/result.json
matrix-r1-sdefault-vf0,corrected,compile,float32,15872,2,72,1,default,0,150994944,True,True,,253952,,[],evidence/matrix-r1-sdefault-vf0/result.json
matrix-r1-sdefault-vf1,corrected,compile,float32,15872,2,72,1,default,1,150994944,True,True,,253952,,[],evidence/matrix-r1-sdefault-vf1/result.json
matrix-r1-sfalse-vf0,corrected,compile,float32,15872,2,72,1,false,0,150994944,True,True,,,,[],evidence/matrix-r1-sfalse-vf0/result.json
matrix-r1-sfalse-vf1,corrected,compile,float32,15872,2,72,1,false,1,150994944,True,True,,,,[],evidence/matrix-r1-sfalse-vf1/result.json
matrix-r1-strue-vf0,corrected,compile,float32,15872,2,72,1,true,0,150994944,True,True,,253952,,[],evidence/matrix-r1-strue-vf0/result.json
matrix-r1-strue-vf1,corrected,compile,float32,15872,2,72,1,true,1,150994944,True,True,,253952,,[],evidence/matrix-r1-strue-vf1/result.json
